wavelength_nm,intensity_norm
9.000000000000000000e+02,9.374115318843411204e-01
9.010000000000000000e+02,9.381188277678496057e-01
9.020000000000000000e+02,9.388261236513580910e-01
9.030000000000000000e+02,9.395334195348665762e-01
9.040000000000000000e+02,9.402407154183751725e-01
9.050000000000000000e+02,9.409480113018836578e-01
9.060000000000000000e+02,9.416553071853921431e-01
9.070000000000000000e+02,9.423626030689006283e-01
9.080000000000000000e+02,9.430698989524091136e-01
9.090000000000000000e+02,9.437771948359177099e-01
9.100000000000000000e+02,9.444844907194261951e-01
9.110000000000000000e+02,9.451917866029346804e-01
9.120000000000000000e+02,9.458990824864431657e-01
9.130000000000000000e+02,9.466063783699516510e-01
9.140000000000000000e+02,9.473606398519012206e-01
9.150000000000000000e+02,9.482403741911361594e-01
9.160000000000000000e+02,9.491201085303710983e-01
9.170000000000000000e+02,9.499998428696060371e-01
9.180000000000000000e+02,9.508795772088409759e-01
9.190000000000000000e+02,9.517593115480759147e-01
9.200000000000000000e+02,9.526390458873108535e-01
9.210000000000000000e+02,9.535187802265457924e-01
9.220000000000000000e+02,9.543985145657808422e-01
9.230000000000000000e+02,9.552782489050157810e-01
9.240000000000000000e+02,9.561579832442507199e-01
9.250000000000000000e+02,9.570377175834856587e-01
9.260000000000000000e+02,9.579174519227205975e-01
9.270000000000000000e+02,9.587971862619555363e-01
9.280000000000000000e+02,9.596769206011904751e-01
9.290000000000000000e+02,9.605566549404254140e-01
9.300000000000000000e+02,9.614363892796603528e-01
9.310000000000000000e+02,9.623161236188952916e-01
9.320000000000000000e+02,9.631958579581302304e-01
9.330000000000000000e+02,9.640755922973651693e-01
9.340000000000000000e+02,9.649553266366001081e-01
9.350000000000000000e+02,9.658350609758350469e-01
9.360000000000000000e+02,9.667147953150699857e-01
9.370000000000000000e+02,9.675945296543049245e-01
9.380000000000000000e+02,9.684742639935399744e-01
9.390000000000000000e+02,9.693539983327749132e-01
9.400000000000000000e+02,9.702315758404802537e-01
9.410000000000000000e+02,9.703904004745680378e-01
9.420000000000000000e+02,9.705492251086557109e-01
9.430000000000000000e+02,9.707080497427433841e-01
9.440000000000000000e+02,9.708668743768311682e-01
9.450000000000000000e+02,9.710256990109188413e-01
9.460000000000000000e+02,9.711845236450066254e-01
9.470000000000000000e+02,9.713433482790942985e-01
9.480000000000000000e+02,9.715021729131820827e-01
9.490000000000000000e+02,9.716609975472697558e-01
9.500000000000000000e+02,9.718198221813575399e-01
9.510000000000000000e+02,9.719786468154452130e-01
9.520000000000000000e+02,9.721374714495328861e-01
9.530000000000000000e+02,9.722962960836206703e-01
9.540000000000000000e+02,9.724551207177083434e-01
9.550000000000000000e+02,9.726139453517961275e-01
9.560000000000000000e+02,9.727727699858838006e-01
9.570000000000000000e+02,9.729315946199715848e-01
9.580000000000000000e+02,9.730904192540592579e-01
9.590000000000000000e+02,9.732492438881470420e-01
9.600000000000000000e+02,9.734080685222347151e-01
9.610000000000000000e+02,9.735668931563223882e-01
9.620000000000000000e+02,9.737257177904101724e-01
9.630000000000000000e+02,9.738845424244978455e-01
9.640000000000000000e+02,9.740433670585856296e-01
9.650000000000000000e+02,9.742021916926733027e-01
9.660000000000000000e+02,9.743610163267610869e-01
9.670000000000000000e+02,9.745198409608487600e-01
9.680000000000000000e+02,9.747927501250490678e-01
9.690000000000000000e+02,9.756227819592424577e-01
9.700000000000000000e+02,9.764528137934358476e-01
9.710000000000000000e+02,9.772828456276293485e-01
9.720000000000000000e+02,9.781128774618227384e-01
9.730000000000000000e+02,9.789429092960161283e-01
9.740000000000000000e+02,9.797729411302095182e-01
9.750000000000000000e+02,9.806029729644029080e-01
9.760000000000000000e+02,9.814330047985962979e-01
9.770000000000000000e+02,9.822630366327896878e-01
9.780000000000000000e+02,9.830930684669830777e-01
9.790000000000000000e+02,9.839231003011765786e-01
9.800000000000000000e+02,9.847531321353699685e-01
9.810000000000000000e+02,9.855831639695633584e-01
9.820000000000000000e+02,9.864131958037567482e-01
9.830000000000000000e+02,9.872432276379501381e-01
9.840000000000000000e+02,9.880732594721435280e-01
9.850000000000000000e+02,9.889032913063369179e-01
9.860000000000000000e+02,9.897333231405303078e-01
9.870000000000000000e+02,9.905633549747236977e-01
9.880000000000000000e+02,9.913933868089170875e-01
9.890000000000000000e+02,9.922234186431105885e-01
9.900000000000000000e+02,9.930534504773039783e-01
9.910000000000000000e+02,9.934940446448414786e-01
9.920000000000000000e+02,9.937280287454984817e-01
9.930000000000000000e+02,9.939620128461554849e-01
9.940000000000000000e+02,9.941959969468124880e-01
9.950000000000000000e+02,9.944299810474696022e-01
9.960000000000000000e+02,9.946639651481266053e-01
9.970000000000000000e+02,9.948979492487836085e-01
9.980000000000000000e+02,9.951319333494406116e-01
9.990000000000000000e+02,9.953659174500976148e-01
1.000000000000000000e+03,9.955999015507546179e-01
1.001000000000000000e+03,9.958338856514116211e-01
1.002000000000000000e+03,9.960678697520686242e-01
1.003000000000000000e+03,9.963018538527256274e-01
1.004000000000000000e+03,9.965358379533826305e-01
1.005000000000000000e+03,9.967698220540396337e-01
1.006000000000000000e+03,9.970038061546966368e-01
1.007000000000000000e+03,9.972377902553536400e-01
1.008000000000000000e+03,9.974717743560106431e-01
1.009000000000000000e+03,9.977057584566676463e-01
1.010000000000000000e+03,9.979397425573246494e-01
1.011000000000000000e+03,9.981737266579816525e-01
1.012000000000000000e+03,9.984077107586387667e-01
1.013000000000000000e+03,9.986416948592957699e-01
1.014000000000000000e+03,9.988756789599527730e-01
1.015000000000000000e+03,9.991096630606097762e-01
1.016000000000000000e+03,9.993436471612667793e-01
1.017000000000000000e+03,9.995776312619237824e-01
1.018000000000000000e+03,9.998116153625807856e-01
