wavelength_nm,qe
9.000000000000000000e+02,8.909472037230202757e-01
9.010000000000000000e+02,8.914384801233875555e-01
9.020000000000000000e+02,8.919297565237548353e-01
9.030000000000000000e+02,8.924210329241221151e-01
9.040000000000000000e+02,8.929123093244895060e-01
9.050000000000000000e+02,8.934035857248567858e-01
9.060000000000000000e+02,8.938948621252240656e-01
9.070000000000000000e+02,8.943861385255914564e-01
9.080000000000000000e+02,8.948774149259587363e-01
9.090000000000000000e+02,8.953686913263260161e-01
9.100000000000000000e+02,8.958691568312046050e-01
9.110000000000000000e+02,8.964201210185324120e-01
9.120000000000000000e+02,8.969710852058602191e-01
9.130000000000000000e+02,8.975220493931880261e-01
9.140000000000000000e+02,8.980730135805159442e-01
9.150000000000000000e+02,8.986239777678437513e-01
9.160000000000000000e+02,8.991749419551715583e-01
9.170000000000000000e+02,8.997259061424993654e-01
9.180000000000000000e+02,9.002768703298271724e-01
9.190000000000000000e+02,9.008278345171549795e-01
9.200000000000000000e+02,9.013787987044828975e-01
9.210000000000000000e+02,9.019297628918107046e-01
9.220000000000000000e+02,9.024807270791385116e-01
9.230000000000000000e+02,9.030316912664663187e-01
9.240000000000000000e+02,9.035826554537941258e-01
9.250000000000000000e+02,9.041336196411219328e-01
9.260000000000000000e+02,9.046845838284498509e-01
9.270000000000000000e+02,9.052355480157776579e-01
9.280000000000000000e+02,9.057865122031054650e-01
9.290000000000000000e+02,9.063374763904332720e-01
9.300000000000000000e+02,9.068884405777610791e-01
9.310000000000000000e+02,9.074394047650888862e-01
9.320000000000000000e+02,9.079903689524168042e-01
9.330000000000000000e+02,9.085413331397446113e-01
9.340000000000000000e+02,9.090922973270724183e-01
9.350000000000000000e+02,9.096002771377883489e-01
9.360000000000000000e+02,9.100272743829673772e-01
9.370000000000000000e+02,9.104542716281464054e-01
9.380000000000000000e+02,9.108812688733255447e-01
9.390000000000000000e+02,9.113082661185045730e-01
9.400000000000000000e+02,9.117352633636836012e-01
9.410000000000000000e+02,9.121622606088626295e-01
9.420000000000000000e+02,9.125892578540417688e-01
9.430000000000000000e+02,9.130162550992207970e-01
9.440000000000000000e+02,9.134432523443998253e-01
9.450000000000000000e+02,9.138702495895789646e-01
9.460000000000000000e+02,9.142972468347579929e-01
9.470000000000000000e+02,9.147242440799370211e-01
9.480000000000000000e+02,9.151512413251160494e-01
9.490000000000000000e+02,9.155782385702951887e-01
9.500000000000000000e+02,9.160052358154742169e-01
9.510000000000000000e+02,9.164322330606532452e-01
9.520000000000000000e+02,9.168592303058323845e-01
9.530000000000000000e+02,9.172862275510114127e-01
9.540000000000000000e+02,9.177132247961904410e-01
9.550000000000000000e+02,9.181402220413695803e-01
9.560000000000000000e+02,9.185672192865486085e-01
9.570000000000000000e+02,9.189942165317276368e-01
9.580000000000000000e+02,9.194212137769066651e-01
9.590000000000000000e+02,9.198482110220858043e-01
9.600000000000000000e+02,9.202875941357848699e-01
9.610000000000000000e+02,9.207375482221026308e-01
9.620000000000000000e+02,9.211875023084202807e-01
9.630000000000000000e+02,9.216374563947380416e-01
9.640000000000000000e+02,9.220874104810558025e-01
9.650000000000000000e+02,9.225373645673734524e-01
9.660000000000000000e+02,9.229873186536912133e-01
9.670000000000000000e+02,9.234372727400089742e-01
9.680000000000000000e+02,9.238872268263266241e-01
9.690000000000000000e+02,9.243371809126443850e-01
9.700000000000000000e+02,9.247871349989620349e-01
9.710000000000000000e+02,9.252370890852797958e-01
9.720000000000000000e+02,9.256870431715975567e-01
9.730000000000000000e+02,9.261369972579152066e-01
9.740000000000000000e+02,9.265869513442329675e-01
9.750000000000000000e+02,9.270369054305507284e-01
9.760000000000000000e+02,9.274868595168683783e-01
9.770000000000000000e+02,9.279368136031861392e-01
9.780000000000000000e+02,9.283867676895039001e-01
9.790000000000000000e+02,9.288367217758215499e-01
9.800000000000000000e+02,9.292866758621393108e-01
9.810000000000000000e+02,9.297366299484570717e-01
9.820000000000000000e+02,9.301865840347747216e-01
9.830000000000000000e+02,9.306365381210924825e-01
9.840000000000000000e+02,9.310864922074102434e-01
9.850000000000000000e+02,9.315431709606467603e-01
9.860000000000000000e+02,9.320023077834199698e-01
